Tipo_de_Ca,X,Y,Uso_del_Su,pH_seco,Cond_Seco,T_Seco,STD_seco,Sal_seco,CE,SAL
Manantial,1138066.695,1713870.375,Forestal,7.27,807.3,29.6,396.1,0.446,807.3,0.446
Pozo,1138633.253,1713507.12,Ganadería,7.21,721.3,30.8,353.9,0.403,721.3,0.403
Pozo,1170287.549,1735131.031,Forestal,7.06,1235.0,31.6,605.8,0.666,1235.0,0.666
Pozo,1170394.192,1734971.103,Ganadería,7.07,3144.0,31.7,1541.0,1.691,3144.0,1.691
Aljibe,1170572.137,1736936.129,Ganadería,6.75,4204.0,29.9,2060.0,2.283,4204.0,2.283
Aljibe,1172252.813,1730219.504,Ganadería,7.41,743.3,28.5,364.7,0.414,743.3,0.414
Aljibe,1172388.914,1729817.84,Ganadería,7.14,2993.0,29.5,1467.0,1.608,2993.0,1.608
Pozo,1172108.77,1729927.005,Ganadería,7.32,1153.0,32.3,565.3,0.623,1153.0,0.623
Aljibe,1171285.503,1730140.659,Ganadería,6.87,703.7,31.0,345.3,0.394,703.7,0.394
Pozo,1171189.586,1730524.726,Forestal,7.01,1067.0,32.1,523.5,0.578,1067.0,0.578
Aljibe,1171114.681,1730317.941,Ganadería,7.33,660.8,30.7,324.3,0.372,660.8,0.372
Aljibe,1169397.439,1729537.401,Forestal,6.87,1616.0,31.3,792.4,0.865,1616.0,0.865
Pozo,1169561.001,1729582.068,Forestal,6.7,1676.0,31.7,821.9,0.897,1676.0,0.897
Pozo,1171480.701,1729926.619,Forestal,7.3,839.3,29.6,411.7,0.462,839.3,0.462
Pozo,1171135.024,1729891.101,Ganadería,7.95,1417.0,30.3,626.2,0.687,1417.0,0.687
Pozo,1172172.307,1727216.328,Agricultura,6.76,928.0,29.0,455.2,0.507,928.0,0.507
Aljibe,1172417.26,1727223.814,Forestal,6.87,825.5,30.3,405.0,0.455,825.5,0.455
Pozo,1171935.096,1730581.316,Ganadería,7.26,1431.0,30.5,701.7,0.767,1431.0,0.767
Pozo,1165702.857,1728580.785,Ganadería,6.96,1362.0,30.1,667.7,0.731,1362.0,0.731
Pozo,1158922.061,1728829.915,Forestal,6.53,1335.0,30.8,654.9,0.718,1335.0,0.718
Pozo,1158646.139,1728625.109,Forestal,6.88,914.9,31.2,448.8,0.501,914.9,0.501
Aljibe,1206958.095,1807502.685,Forestal,7.17,2176.0,31.5,1067.0,1.163,2176.0,1.163
Aljibe,1212204.897,1809675.28,Forestal,7.17,3890.0,32.2,1907.0,2.107,3890.0,2.107
Aljibe,1212282.874,1809588.083,Forestal,7.95,1471.0,31.7,721.5,0.79,1471.0,0.79
Aljibe,1208095.268,1805397.073,Forestal,7.04,3978.0,32.2,1950.0,2.156,3978.0,2.156
Pozo,1202687.934,1799631.884,Urbano,7.08,11790.0,33.5,5777.0,6.831,11790.0,6.831
